,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval0,PromoInterval1,PromoInterval2,PromoInterval3
745,746,3,2,4330,2,2011,1,35,2011,3,6,9,12
746,747,2,2,45740,8,2008,0,0,0,0,0,0,0
747,748,3,0,2380,3,2010,1,14,2011,1,4,7,10
748,749,0,0,3410,8,2011,1,14,2015,1,4,7,10
749,750,3,0,8670,2,2002,1,14,2011,1,4,7,10
750,751,0,0,650,10,2006,0,0,0,0,0,0,0
751,752,0,0,970,3,2013,1,31,2013,2,5,8,11
752,753,3,2,540,11,2012,1,35,2010,3,6,9,12
753,754,2,2,380,5,2008,1,10,2014,3,6,9,12
754,755,3,2,13130,12,2003,0,0,0,0,0,0,0
755,756,0,2,50,1,1990,1,40,2011,1,4,7,10
756,757,0,2,3450,1,1990,0,0,0,0,0,0,0
757,758,0,2,19780,6,2008,0,0,0,0,0,0,0
758,759,0,0,110,11,2012,1,31,2013,2,5,8,11
759,760,0,0,560,1,2011,0,0,0,0,0,0,0
760,761,0,0,2390,9,2012,0,0,0,0,0,0,0
761,762,3,2,1280,1,1990,1,10,2013,3,6,9,12
762,763,3,2,32240,3,2010,0,0,0,0,0,0,0
763,764,0,2,26490,1,1990,1,10,2014,3,6,9,12
764,765,0,2,25430,5,1999,1,37,2009,1,4,7,10
765,766,3,2,9820,1,1990,0,0,0,0,0,0,0
766,767,0,2,13080,1,1990,0,0,0,0,0,0,0
767,768,0,2,2630,9,2012,0,0,0,0,0,0,0
768,769,1,1,840,1,1990,1,48,2012,1,4,7,10
769,770,0,2,100,4,2015,0,0,0,0,0,0,0
770,771,0,0,20640,9,2007,0,0,0,0,0,0,0
771,772,3,2,1850,1,1990,0,0,0,0,0,0,0
772,773,0,0,200,1,1990,0,0,0,0,0,0,0
773,774,0,2,640,9,2013,0,0,0,0,0,0,0
774,775,3,2,6970,12,2005,1,22,2011,1,4,7,10
775,776,2,0,700,4,2009,1,14,2011,1,4,7,10
776,777,3,2,8250,10,2004,1,10,2013,3,6,9,12
777,778,0,0,340,6,2003,1,40,2014,1,4,7,10
778,779,0,0,16990,4,2004,0,0,0,0,0,0,0
779,780,0,0,18160,1,1990,0,0,0,0,0,0,0
780,781,0,0,630,4,2007,0,0,0,0,0,0,0
781,782,2,2,5390,8,2003,1,1,2012,1,4,7,10
782,783,3,2,15490,1,1990,0,0,0,0,0,0,0
783,784,0,0,560,10,2014,1,10,2014,1,4,7,10
784,785,3,2,970,7,2005,1,31,2013,2,5,8,11
785,786,0,0,290,11,2006,1,5,2013,2,5,8,11
786,787,2,2,3210,6,2009,0,0,0,0,0,0,0
787,788,0,2,1530,3,2013,0,0,0,0,0,0,0
788,789,0,2,9770,7,2003,0,0,0,0,0,0,0
789,790,3,2,9070,12,2003,0,0,0,0,0,0,0
790,791,0,0,5950,4,2007,0,0,0,0,0,0,0
791,792,3,0,17280,10,2009,1,18,2011,2,5,8,11
792,793,3,0,2710,7,2006,0,0,0,0,0,0,0
793,794,2,2,5090,9,2006,0,0,0,0,0,0,0
794,795,3,0,510,1,1990,1,35,2010,3,6,9,12
795,796,0,2,7180,11,2012,0,0,0,0,0,0,0
796,797,0,0,2090,10,2012,1,40,2014,1,4,7,10
797,798,0,0,9560,4,2001,0,0,0,0,0,0,0
798,799,0,2,2700,1,1990,0,0,0,0,0,0,0
799,800,3,0,2020,7,2014,0,0,0,0,0,0,0
800,801,3,0,48330,4,2013,0,0,0,0,0,0,0
801,802,0,2,910,1,1990,1,22,2011,2,5,8,11
802,803,3,0,1760,1,1990,1,10,2014,3,6,9,12
803,804,2,2,2100,1,1990,1,1,2013,1,4,7,10
804,805,3,0,24770,10,2011,1,10,2014,3,6,9,12
805,806,3,0,260,1,1990,1,44,2010,2,5,8,11
806,807,0,0,3870,4,2008,0,0,0,0,0,0,0
807,808,0,0,18620,1,1990,1,31,2009,2,5,8,11
808,809,0,0,12770,10,2000,0,0,0,0,0,0,0
809,810,3,2,9640,11,2013,0,0,0,0,0,0,0
810,811,0,0,410,9,2012,0,0,0,0,0,0,0
811,812,3,0,2590,9,2012,0,0,0,0,0,0,0
812,813,0,0,1560,9,2003,0,0,0,0,0,0,0
813,814,3,2,24530,7,2013,0,0,0,0,0,0,0
814,815,0,0,590,1,1900,1,40,2014,1,4,7,10
815,816,2,2,460,1,1990,0,0,0,0,0,0,0
816,817,0,0,140,3,2006,0,0,0,0,0,0,0
817,818,3,0,490,1,1990,1,35,2010,3,6,9,12
818,819,0,2,720,10,2014,0,0,0,0,0,0,0
819,820,0,2,1650,1,1990,1,40,2014,1,4,7,10
820,821,0,0,1700,9,2009,0,0,0,0,0,0,0
821,822,0,2,410,11,2010,1,48,2010,3,6,9,12
822,823,0,2,16210,11,2010,0,0,0,0,0,0,0
823,824,0,0,17570,1,1990,0,0,0,0,0,0,0
824,825,0,0,380,5,2011,1,40,2014,1,4,7,10
825,826,0,2,7980,6,2005,0,0,0,0,0,0,0
826,827,0,2,250,1,2005,0,0,0,0,0,0,0
827,828,3,2,3290,12,2014,0,0,0,0,0,0,0
828,829,2,0,110,1,1990,0,0,0,0,0,0,0
829,830,0,2,6320,1,1990,1,5,2011,1,4,7,10
830,831,0,0,800,6,2007,0,0,0,0,0,0,0
831,832,3,0,5070,1,1990,1,45,2009,2,5,8,11
832,833,3,2,3290,12,1999,1,35,2010,3,6,9,12
833,834,0,0,3470,3,2012,0,0,0,0,0,0,0
834,835,0,0,2890,12,2007,1,10,2014,3,6,9,12
835,836,0,0,2720,9,2012,0,0,0,0,0,0,0
836,837,0,2,14600,4,2015,0,0,0,0,0,0,0
837,838,3,2,6890,1,1990,1,48,2011,3,6,9,12
838,839,2,0,240,1,2015,0,0,0,0,0,0,0
839,840,0,0,1070,9,2009,0,0,0,0,0,0,0
840,841,0,0,27650,8,2004,0,0,0,0,0,0,0
841,842,3,2,1200,11,2007,0,0,0,0,0,0,0
842,843,2,0,60,4,2006,0,0,0,0,0,0,0
843,844,0,0,2030,9,2012,1,18,2011,2,5,8,11
844,845,3,0,7860,11,2005,1,14,2011,1,4,7,10
845,846,0,2,8860,4,2004,1,37,2009,1,4,7,10
846,847,2,2,190,1,1990,1,31,2013,2,5,8,11
847,848,0,2,370,7,2007,1,14,2011,1,4,7,10
848,849,2,2,5000,1,1990,0,0,0,0,0,0,0
849,850,3,0,1120,5,2007,1,31,2013,1,4,7,10
850,851,3,2,2330,1,1990,1,49,2014,3,6,9,12
851,852,2,0,940,4,2004,1,14,2011,1,4,7,10
852,853,0,0,14040,1,1990,0,0,0,0,0,0,0
853,854,2,0,4770,1,1990,1,13,2010,1,4,7,10
854,855,0,0,3440,1,1990,1,45,2009,2,5,8,11
855,856,0,0,3020,2,2010,0,0,0,0,0,0,0
856,857,2,0,6270,8,2005,1,23,2014,3,6,9,12
857,858,0,0,3370,12,2008,1,40,2014,1,4,7,10
858,859,2,0,21770,7,2015,0,0,0,0,0,0,0
859,860,2,2,5980,2,2010,0,0,0,0,0,0,0
860,861,2,2,740,1,1990,1,14,2013,3,6,9,12
861,862,0,2,2840,3,2010,1,14,2011,1,4,7,10
862,863,0,2,21370,11,2010,0,0,0,0,0,0,0
863,864,0,0,1020,10,2012,1,45,2009,2,5,8,11
864,865,3,2,2640,1,1990,0,0,0,0,0,0,0
865,866,3,0,9680,1,1990,1,5,2013,2,5,8,11
866,867,3,2,21810,9,2012,0,0,0,0,0,0,0
867,868,3,2,1360,8,2005,1,10,2014,1,4,7,10
868,869,2,0,230,10,2001,1,14,2011,1,4,7,10
869,870,0,0,780,4,2009,0,0,0,0,0,0,0
870,871,3,2,10620,1,1990,0,0,0,0,0,0,0
871,872,0,2,3860,9,2014,1,23,2015,3,6,9,12
872,873,0,0,2040,11,2008,0,0,0,0,0,0,0
873,874,0,0,3210,1,1990,0,0,0,0,0,0,0
874,875,3,0,5070,11,2007,1,18,2015,2,5,8,11
875,876,0,0,21790,4,2005,1,18,2015,2,5,8,11
876,877,0,2,29190,1,1990,0,0,0,0,0,0,0
877,878,3,2,1100,12,2014,0,0,0,0,0,0,0
878,879,3,0,2325,1,1990,1,5,2013,2,5,8,11
879,880,0,2,4570,1,1990,0,0,0,0,0,0,0
880,881,0,0,180,3,2008,1,31,2013,2,5,8,11
881,882,0,0,30,4,2013,0,0,0,0,0,0,0
882,883,0,0,3200,6,2005,0,0,0,0,0,0,0
883,884,3,2,7550,1,1990,0,0,0,0,0,0,0
884,885,0,0,480,12,2005,0,0,0,0,0,0,0
885,886,0,2,12430,10,2004,0,0,0,0,0,0,0
886,887,3,0,19700,1,1990,1,37,2009,1,4,7,10
887,888,3,0,4450,6,2012,1,35,2012,3,6,9,12
888,889,3,0,18670,12,2005,0,0,0,0,0,0,0
889,890,0,0,4450,1,1990,1,14,2011,1,4,7,10
890,891,0,2,350,1,1990,1,31,2013,2,5,8,11
891,892,0,0,19370,4,2002,0,0,0,0,0,0,0
892,893,0,0,130,1,1990,1,1,2013,1,4,7,10
893,894,0,0,190,11,2012,0,0,0,0,0,0,0
894,895,0,2,4150,1,1990,0,0,0,0,0,0,0
895,896,0,2,170,9,2012,0,0,0,0,0,0,0
896,897,2,2,3290,1,2007,1,5,2013,2,5,8,11
897,898,0,0,18540,1,1990,0,0,0,0,0,0,0
898,899,3,0,2590,1,1990,1,13,2010,1,4,7,10
899,900,0,0,3920,4,2005,1,40,2014,1,4,7,10
900,901,0,2,3170,4,2014,0,0,0,0,0,0,0
901,902,0,0,310,5,2015,1,40,2014,1,4,7,10
902,903,3,2,7290,9,2014,0,0,0,0,0,0,0
903,904,3,2,570,7,2013,1,14,2011,1,4,7,10
904,905,0,0,90,6,2014,0,0,0,0,0,0,0
905,906,0,0,90,7,2010,0,0,0,0,0,0,0
906,907,0,2,250,1,1990,0,0,0,0,0,0,0
907,908,0,0,1980,7,2010,1,37,2009,1,4,7,10
908,909,0,2,1680,1,1990,1,45,2009,2,5,8,11
909,910,3,2,12480,1,1990,1,1,2013,1,4,7,10
910,911,0,2,16490,1,1990,0,0,0,0,0,0,0
911,912,2,2,3100,5,2010,0,0,0,0,0,0,0
912,913,0,0,280,1,1990,0,0,0,0,0,0,0
913,914,2,2,2640,4,2011,1,22,2012,3,6,9,12
914,915,3,2,650,3,2013,1,40,2014,1,4,7,10
915,916,0,0,90,11,2012,0,0,0,0,0,0,0
916,917,0,0,7240,2,2010,0,0,0,0,0,0,0
917,918,0,2,18710,4,2015,0,0,0,0,0,0,0
918,919,0,0,2620,1,1990,1,45,2009,2,5,8,11
919,920,0,0,850,2,2012,1,40,2014,1,4,7,10
920,921,0,0,840,9,2006,0,0,0,0,0,0,0
921,922,3,0,2110,3,2006,0,0,0,0,0,0,0
922,923,0,0,280,9,2008,0,0,0,0,0,0,0
923,924,0,0,6420,4,2011,1,1,2012,1,4,7,10
924,925,2,0,470,3,2007,1,1,2012,1,4,7,10
925,926,3,2,5150,3,2011,1,13,2010,1,4,7,10
926,927,0,0,480,1,1990,0,0,0,0,0,0,0
927,928,3,2,1090,1,1990,1,31,2013,2,5,8,11
928,929,0,2,4820,9,2013,0,0,0,0,0,0,0
929,930,0,0,70,1,1990,0,0,0,0,0,0,0
930,931,0,2,1480,9,2011,1,1,2012,1,4,7,10
931,932,0,0,15700,1,1990,1,13,2010,1,4,7,10
932,933,0,2,6270,2,2005,0,0,0,0,0,0,0
933,934,0,2,5460,1,1990,1,14,2011,1,4,7,10
934,935,0,2,22350,6,2010,0,0,0,0,0,0,0
935,936,0,0,580,2,2008,0,0,0,0,0,0,0
936,937,3,0,2810,1,1990,1,10,2014,1,4,7,10
937,938,0,0,2820,9,2009,0,0,0,0,0,0,0
938,939,3,0,1340,1,1990,0,0,0,0,0,0,0
939,940,3,2,6470,9,2012,0,0,0,0,0,0,0
940,941,0,0,1200,12,2011,1,31,2013,1,4,7,10
941,942,3,2,6860,1,1990,1,18,2011,1,4,7,10
942,943,3,2,18020,1,1990,0,0,0,0,0,0,0
943,944,2,0,1670,7,2015,0,0,0,0,0,0,0
944,945,0,2,12480,3,2011,0,0,0,0,0,0,0
945,946,0,0,2220,12,2011,1,14,2015,1,4,7,10
946,947,0,0,460,3,2014,1,13,2010,1,4,7,10
947,948,1,1,1430,1,1990,0,0,0,0,0,0,0
948,949,0,0,870,3,2006,0,0,0,0,0,0,0
949,950,0,0,8460,11,1994,0,0,0,0,0,0,0
950,951,3,2,710,1,1990,1,40,2011,1,4,7,10
951,952,3,2,6300,10,2013,0,0,0,0,0,0,0
952,953,0,0,19830,4,2006,1,22,2011,3,6,9,12
953,954,0,0,390,2,2013,1,10,2014,1,4,7,10
954,955,3,2,1690,7,2009,1,36,2013,3,6,9,12
955,956,0,0,2330,10,2014,1,18,2011,2,5,8,11
956,957,3,2,1420,11,2012,0,0,0,0,0,0,0
957,958,0,0,440,11,2013,0,0,0,0,0,0,0
958,959,0,2,1060,12,2005,0,0,0,0,0,0,0
959,960,3,0,8990,1,1990,1,31,2009,2,5,8,11
960,961,3,2,9430,1,1990,0,0,0,0,0,0,0
961,962,2,0,260,1,1990,0,0,0,0,0,0,0
962,963,0,2,23620,11,2013,0,0,0,0,0,0,0
963,964,0,0,270,1,1990,1,5,2013,2,5,8,11
964,965,0,2,110,1,1990,0,0,0,0,0,0,0
965,966,0,0,760,2,2008,0,0,0,0,0,0,0
966,967,0,2,3560,9,2013,1,36,2013,1,4,7,10
967,968,2,0,1190,1,1990,0,0,0,0,0,0,0
968,969,0,2,600,11,1999,1,10,2013,1,4,7,10
969,970,0,0,910,12,2014,1,37,2009,1,4,7,10
970,971,2,0,1140,5,2011,1,14,2012,3,6,9,12
971,972,0,0,14960,1,1990,0,0,0,0,0,0,0
972,973,3,2,330,1,1990,1,28,2012,1,4,7,10
973,974,0,0,150,3,2011,1,40,2014,1,4,7,10
974,975,0,2,9630,1,1990,1,14,2011,1,4,7,10
975,976,0,0,4180,1,1990,0,0,0,0,0,0,0
976,977,0,0,520,9,2005,1,13,2010,1,4,7,10
977,978,2,2,3890,1,1990,0,0,0,0,0,0,0
978,979,0,2,2270,11,2005,1,14,2011,1,4,7,10
979,980,0,0,4420,9,2005,0,0,0,0,0,0,0
980,981,3,2,2620,11,2002,0,0,0,0,0,0,0
981,982,3,0,21930,1,1990,0,0,0,0,0,0,0
982,983,0,0,40,3,2014,1,1,2014,1,4,7,10
983,984,2,0,440,1,1990,1,1,2013,1,4,7,10
984,985,2,2,490,5,2007,1,13,2010,1,4,7,10
985,986,0,0,620,10,2014,1,18,2014,2,5,8,11
986,987,2,0,1690,6,2007,0,0,0,0,0,0,0
987,988,0,0,30,11,2012,0,0,0,0,0,0,0
988,989,0,0,1640,6,2006,1,40,2011,1,4,7,10
989,990,3,0,20930,1,1990,0,0,0,0,0,0,0
990,991,0,0,1010,1,1990,0,0,0,0,0,0,0
991,992,0,0,2480,7,1990,0,0,0,0,0,0,0
992,993,3,2,3460,10,2013,1,10,2014,1,4,7,10
993,994,0,0,2290,7,2011,1,1,2012,1,4,7,10
994,995,3,0,6560,12,2013,0,0,0,0,0,0,0
995,996,2,0,2870,7,2015,1,13,2010,1,4,7,10
996,997,3,2,5840,7,2010,1,37,2009,1,4,7,10
997,998,0,0,780,9,2005,1,5,2013,2,5,8,11
998,999,3,2,15140,2,2002,1,37,2009,1,4,7,10
999,1000,0,2,2230,5,2009,1,40,2014,1,4,7,10
1000,1001,2,0,19640,1,1990,1,14,2011,1,4,7,10
1001,1002,3,2,1130,11,2008,0,0,0,0,0,0,0
1002,1003,0,0,170,7,2013,1,27,2013,1,4,7,10
1003,1004,3,2,970,1,1990,1,9,2011,3,6,9,12
1004,1005,0,0,6480,1,1990,0,0,0,0,0,0,0
1005,1006,2,2,3890,11,2006,1,5,2013,2,5,8,11
1006,1007,2,2,4180,9,2012,0,0,0,0,0,0,0
1007,1008,0,2,30,9,2010,0,0,0,0,0,0,0
1008,1009,0,0,230,7,2004,1,10,2014,1,4,7,10
1009,1010,3,2,4610,6,2010,1,18,2010,2,5,8,11
1010,1011,0,2,490,9,2012,1,18,2011,2,5,8,11
1011,1012,3,2,6330,6,2004,1,39,2010,1,4,7,10
1012,1013,0,0,630,2,2015,1,31,2013,2,5,8,11
1013,1014,0,2,210,1,1990,1,31,2013,1,4,7,10
1014,1015,3,2,9910,12,2010,1,9,2011,3,6,9,12
1015,1016,2,2,550,1,1990,1,35,2010,3,6,9,12
1016,1017,2,0,110,11,2008,0,0,0,0,0,0,0
1017,1018,2,2,140,9,2012,0,0,0,0,0,0,0
1018,1019,3,2,2740,7,2014,1,13,2010,1,4,7,10
1019,1020,0,0,40,8,2015,0,0,0,0,0,0,0
1020,1021,0,0,1080,5,2011,0,0,0,0,0,0,0
1021,1022,0,2,1520,1,1990,0,0,0,0,0,0,0
1022,1023,2,0,3740,2,2002,1,14,2011,1,4,7,10
1023,1024,2,2,1990,1,2012,0,0,0,0,0,0,0
1024,1025,0,0,720,11,2009,0,0,0,0,0,0,0
1025,1026,2,0,450,6,2011,1,48,2012,3,6,9,12
1026,1027,0,2,190,6,2008,1,40,2011,1,4,7,10
1027,1028,0,0,150,1,1990,1,31,2013,1,4,7,10
1028,1029,0,0,1590,3,2006,0,0,0,0,0,0,0
1029,1030,0,0,36410,4,2008,0,0,0,0,0,0,0
1030,1031,3,0,590,5,2001,0,0,0,0,0,0,0
1031,1032,3,2,270,2,2013,1,40,2012,1,4,7,10
1032,1033,0,0,7680,3,2006,0,0,0,0,0,0,0
1033,1034,0,0,13750,4,2015,0,0,0,0,0,0,0
1034,1035,0,0,27150,1,1990,0,0,0,0,0,0,0
1035,1036,3,2,9560,1,1990,1,36,2013,1,4,7,10
1036,1037,0,2,150,1,1990,0,0,0,0,0,0,0
1037,1038,3,0,17290,10,2013,0,0,0,0,0,0,0
1038,1039,0,2,70,6,1990,1,22,2012,3,6,9,12
1039,1040,0,0,4030,2,2013,1,10,2014,1,4,7,10
1040,1041,2,0,1600,8,2013,1,40,2014,1,4,7,10
1041,1042,0,0,3440,1,1990,1,31,2013,2,5,8,11
1042,1043,2,0,420,3,2006,0,0,0,0,0,0,0
1043,1044,2,0,240,4,2015,1,13,2010,1,4,7,10
1044,1045,0,2,26990,12,2013,0,0,0,0,0,0,0
1045,1046,3,2,29070,4,2005,0,0,0,0,0,0,0
1046,1047,0,0,3750,1,1990,1,45,2009,2,5,8,11
1047,1048,3,2,1860,9,2012,1,40,2012,1,4,7,10
1048,1049,0,0,370,7,2012,1,14,2011,1,4,7,10
1049,1050,3,2,13170,8,2014,1,9,2011,3,6,9,12
1050,1051,2,0,200,7,1998,1,1,2012,1,4,7,10
1051,1052,0,2,5080,1,1990,1,31,2013,2,5,8,11
1052,1053,0,0,1710,7,2015,0,0,0,0,0,0,0
1053,1054,0,2,13190,1,1990,1,45,2013,2,5,8,11
1054,1055,2,0,1980,4,2009,0,0,0,0,0,0,0
1055,1056,3,2,5350,1,1990,1,40,2012,1,4,7,10
1056,1057,3,2,3230,11,2011,0,0,0,0,0,0,0
1057,1058,0,2,180,1,1990,1,35,2010,3,6,9,12
1058,1059,2,0,3380,4,2013,0,0,0,0,0,0,0
1059,1060,0,2,3430,1,1990,1,31,2013,2,5,8,11
1060,1061,3,2,8110,1,1990,0,0,0,0,0,0,0
1061,1062,3,0,190,9,2012,1,40,2012,2,5,8,11
1062,1063,0,2,6250,1,1990,0,0,0,0,0,0,0
1063,1064,0,2,420,1,1990,0,0,0,0,0,0,0
1064,1065,0,0,1290,1,1990,1,35,2011,3,6,9,12
1065,1066,0,0,3350,1,1990,0,0,0,0,0,0,0
1066,1067,3,2,12020,7,2009,0,0,0,0,0,0,0
1067,1068,3,2,5010,1,1990,1,5,2013,1,4,7,10
1068,1069,0,2,18050,1,1990,1,14,2011,1,4,7,10
1069,1070,2,2,400,10,2008,0,0,0,0,0,0,0
1070,1071,0,0,820,3,2012,1,35,2012,3,6,9,12
1071,1072,0,2,5380,8,2015,1,5,2010,2,5,8,11
1072,1073,0,2,1710,1,1990,1,44,2012,1,4,7,10
1073,1074,2,2,3330,10,2001,1,14,2011,1,4,7,10
1074,1075,0,2,1410,10,2013,0,0,0,0,0,0,0
1075,1076,0,2,90,1,1990,1,1,2013,1,4,7,10
1076,1077,0,0,3750,11,2001,1,35,2010,3,6,9,12
1077,1078,3,2,670,1,1990,1,40,2011,1,4,7,10
1078,1079,0,0,16680,1,1990,1,37,2009,1,4,7,10
1079,1080,0,0,2410,1,1990,1,40,2014,1,4,7,10
1080,1081,1,0,400,3,2006,0,0,0,0,0,0,0
1081,1082,2,0,440,4,2002,0,0,0,0,0,0,0
1082,1083,3,2,11540,1,1990,1,5,2013,2,5,8,11
1083,1084,0,0,190,1,1990,1,13,2010,1,4,7,10
1084,1085,2,0,4030,2,2015,0,0,0,0,0,0,0
1085,1086,0,0,180,11,2013,1,18,2011,2,5,8,11
1086,1087,3,2,2210,11,2011,0,0,0,0,0,0,0
1087,1088,0,0,4300,3,2009,1,27,2013,1,4,7,10
1088,1089,3,0,5220,5,2009,0,0,0,0,0,0,0
1089,1090,0,0,330,1,1990,1,14,2011,1,4,7,10
1090,1091,0,2,9990,1,1990,0,0,0,0,0,0,0
1091,1092,0,0,300,7,2000,1,40,2014,1,4,7,10
1092,1093,2,2,10450,6,2009,0,0,0,0,0,0,0
1093,1094,3,0,2380,3,2013,1,40,2014,1,4,7,10
1094,1095,0,0,690,6,2007,1,14,2011,1,4,7,10
1095,1096,0,2,1130,1,1990,1,10,2014,3,6,9,12
1096,1097,1,1,720,3,2002,0,0,0,0,0,0,0
1097,1098,0,0,1830,11,2004,0,0,0,0,0,0,0
1098,1099,0,2,200,4,2013,1,14,2013,1,4,7,10
1099,1100,0,0,540,1,1990,1,14,2011,1,4,7,10
1100,1101,3,2,4060,9,2012,0,0,0,0,0,0,0
1101,1102,0,0,850,11,2012,1,40,2014,1,4,7,10
1102,1103,3,2,1340,10,2006,1,5,2013,2,5,8,11
1103,1104,3,0,260,2,2012,1,14,2011,1,4,7,10
1104,1105,2,2,330,11,2008,1,5,2013,2,5,8,11
1105,1106,0,2,5330,9,2011,1,31,2013,1,4,7,10
1106,1107,0,0,1400,6,2012,1,13,2010,1,4,7,10
1107,1108,0,0,540,4,2004,0,0,0,0,0,0,0
1108,1109,2,0,3490,4,2011,1,22,2012,1,4,7,10
1109,1110,2,2,900,9,2010,0,0,0,0,0,0,0
1110,1111,0,0,1900,6,2014,1,31,2013,1,4,7,10
1111,1112,2,2,1880,4,2006,0,0,0,0,0,0,0
1112,1113,0,2,9260,1,1990,0,0,0,0,0,0,0
1113,1114,0,2,870,1,1990,0,0,0,0,0,0,0
1114,1115,3,2,5350,1,1990,1,22,2012,3,6,9,12
